name,year,value,lastValue,tcolour
Balfour,10,0,0,#00539f
Balfour,20,0,0,#00539f
Balfour,30,0,0,#00539f
Balfour,40,0,0,#00539f
Balfour,50,0,0,#00539f
Balfour,60,0,0,#00539f
Balfour,70,0,0,#00539f
Balfour,80,0,0,#00539f
Balfour,90,0,0,#00539f
Balfour,100,0,0,#00539f
Balfour,110,0,0,#00539f
Balfour,120,0,0,#00539f
Balfour,130,0,0,#00539f
Balfour,140,0,0,#00539f
Balfour,150,0,0,#00539f
Balfour,160,0,0,#00539f
Balfour,170,0,0,#00539f
Balfour,180,0,0,#00539f
Balfour,190,0,0,#00539f
Balfour,200,0,0,#00539f
Balfour,210,0,0,#00539f
Balfour,220,0,0,#00539f
Balfour,230,0,0,#00539f
Balfour,240,0,0,#00539f
Balfour,250,0,0,#00539f
Balfour,260,0,0,#00539f
Balfour,270,0,0,#00539f
Balfour,280,0,0,#00539f
Balfour,290,0,0,#00539f
Balfour,300,0,0,#00539f
Balfour,310,0,0,#00539f
Balfour,320,0,0,#00539f
Balfour,330,0,0,#00539f
Balfour,340,0,0,#00539f
Balfour,350,0,0,#00539f
Balfour,360,0,0,#00539f
Balfour,370,0,0,#00539f
Balfour,380,0,0,#00539f
Balfour,390,0,0,#00539f
Balfour,400,0,0,#00539f
Balfour,410,0,0,#00539f
Balfour,420,0,0,#00539f
Balfour,430,5,0,#00539f
Balfour,440,5,5,#00539f
Balfour,450,5,5,#00539f
Balfour,460,5,5,#00539f
Balfour,470,5,5,#00539f
Balfour,480,5,5,#00539f
Balfour,490,5,5,#00539f
Balfour,500,5,5,#00539f
Balfour,510,5,5,#00539f
Balfour,520,5,5,#00539f
Balfour,530,5,5,#00539f
Balfour,540,5,5,#00539f
Balfour,550,5,5,#00539f
Balfour,560,5,5,#00539f
Balfour,570,5,5,#00539f
Balfour,580,5,5,#00539f
Balfour,590,5,5,#00539f
Balfour,600,5,5,#00539f
Balfour,610,5,5,#00539f
Balfour,620,5,5,#00539f
Balfour,630,5,5,#00539f
Balfour,640,5,5,#00539f
Balfour,650,5,5,#00539f
Balfour,660,5,5,#00539f
Balfour,670,5,5,#00539f
Balfour,680,5,5,#00539f
Balfour,690,5,5,#00539f
Balfour,700,5,5,#00539f
Balfour,710,5,5,#00539f
Balfour,720,5,5,#00539f
Balfour,730,5,5,#00539f
Balfour,740,5,5,#00539f
Balfour,750,5,5,#00539f
Balfour,760,5,5,#00539f
Balfour,770,5,5,#00539f
Balfour,780,5,5,#00539f
Balfour,790,5,5,#00539f
Balfour,800,5,5,#00539f
Balfour,810,5,5,#00539f
Balfour,820,5,5,#00539f
Balfour,830,5,5,#00539f
Balfour,840,5,5,#00539f
Balfour,850,5,5,#00539f
Balfour,860,5,5,#00539f
Balfour,870,5,5,#00539f
Balfour,880,5,5,#00539f
Balfour,890,5,5,#00539f
Balfour,900,5,5,#00539f
Balfour,910,5,5,#00539f
Balfour,920,5,5,#00539f
Balfour,930,5,5,#00539f
Balfour,940,5,5,#00539f
Balfour,950,5,5,#00539f
Balfour,960,5,5,#00539f
Balfour,970,6,5,#00539f
Balfour,980,6,6,#00539f
Balfour,990,6,6,#00539f
Balfour,1000,6,6,#00539f
Lloyd George,10,0,0,#ffb703
Lloyd George,20,0,0,#ffb703
Lloyd George,30,0,0,#ffb703
Lloyd George,40,0,0,#ffb703
Lloyd George,50,0,0,#ffb703
Lloyd George,60,0,0,#ffb703
Lloyd George,70,0,0,#ffb703
Lloyd George,80,0,0,#ffb703
Lloyd George,90,0,0,#ffb703
Lloyd George,100,0,0,#ffb703
Lloyd George,110,0,0,#ffb703
Lloyd George,120,0,0,#ffb703
Lloyd George,130,0,0,#ffb703
Lloyd George,140,0,0,#ffb703
Lloyd George,150,0,0,#ffb703
Lloyd George,160,0,0,#ffb703
Lloyd George,170,0,0,#ffb703
Lloyd George,180,0,0,#ffb703
Lloyd George,190,0,0,#ffb703
Lloyd George,200,0,0,#ffb703
Lloyd George,210,0,0,#ffb703
Lloyd George,220,1,0,#ffb703
Lloyd George,230,1,1,#ffb703
Lloyd George,240,1,1,#ffb703
Lloyd George,250,2,1,#ffb703
Lloyd George,260,2,2,#ffb703
Lloyd George,270,2,2,#ffb703
Lloyd George,280,2,2,#ffb703
Lloyd George,290,2,2,#ffb703
Lloyd George,300,2,2,#ffb703
Lloyd George,310,2,2,#ffb703
Lloyd George,320,2,2,#ffb703
Lloyd George,330,2,2,#ffb703
Lloyd George,340,2,2,#ffb703
Lloyd George,350,3,2,#ffb703
Lloyd George,360,3,3,#ffb703
Lloyd George,370,3,3,#ffb703
Lloyd George,380,3,3,#ffb703
Lloyd George,390,3,3,#ffb703
Lloyd George,400,3,3,#ffb703
Lloyd George,410,3,3,#ffb703
Lloyd George,420,4,3,#ffb703
Lloyd George,430,4,4,#ffb703
Lloyd George,440,4,4,#ffb703
Lloyd George,450,4,4,#ffb703
Lloyd George,460,4,4,#ffb703
Lloyd George,470,4,4,#ffb703
Lloyd George,480,4,4,#ffb703
Lloyd George,490,4,4,#ffb703
Lloyd George,500,4,4,#ffb703
Lloyd George,510,5,4,#ffb703
Lloyd George,520,5,5,#ffb703
Lloyd George,530,5,5,#ffb703
Lloyd George,540,5,5,#ffb703
Lloyd George,550,5,5,#ffb703
Lloyd George,560,5,5,#ffb703
Lloyd George,570,5,5,#ffb703
Lloyd George,580,5,5,#ffb703
Lloyd George,590,5,5,#ffb703
Lloyd George,600,5,5,#ffb703
Lloyd George,610,5,5,#ffb703
